generation,best_fitness,average_fitness,std_dev_fitness,mutation_rate,mutation_strength,best_weight_0,best_weight_1,best_weight_2,best_weight_3,best_weight_4,best_weight_5,best_weight_6
22,3531.00,3232.70,830.72,0.0100,0.0400,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
23,3531.00,3167.52,936.40,0.0100,0.0300,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
24,3531.00,3150.94,927.89,0.0100,0.0200,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
25,3531.00,3274.27,752.84,0.0100,0.0200,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
26,3531.00,3084.04,990.94,0.0200,0.0300,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
27,3531.00,3043.49,1031.50,0.0300,0.0400,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
28,3531.00,2801.75,1124.81,0.0400,0.0500,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
29,3531.00,2841.67,1132.75,0.0500,0.0600,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
30,3531.00,2451.23,1272.33,0.0600,0.0700,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
31,3531.00,2367.01,1257.15,0.0700,0.0800,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
32,3531.00,2508.32,1264.12,0.0800,0.0900,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
33,3531.00,2168.60,1299.24,0.0900,0.1000,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
34,3531.00,2333.29,1290.05,0.1000,0.1100,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
35,3531.00,2181.06,1271.10,0.1100,0.1200,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
36,3531.00,1967.30,1227.12,0.1200,0.1300,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
37,3531.00,2096.84,1248.03,0.1300,0.1400,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
38,3531.00,1842.12,1252.77,0.1400,0.1500,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
39,3531.00,1966.26,1270.80,0.1500,0.1600,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
40,3531.00,1814.60,1213.02,0.1600,0.1700,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
41,3531.00,1898.78,1212.97,0.1700,0.1800,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
42,3531.00,1776.03,1187.62,0.1800,0.1900,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
43,3531.00,1721.24,1172.56,0.1900,0.2000,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
44,3531.00,1589.85,1144.39,0.2000,0.2100,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
45,3531.00,1540.53,1118.55,0.2100,0.2200,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
46,3531.00,1546.16,1063.28,0.2200,0.2300,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
47,3531.00,1636.00,1117.42,0.2300,0.2400,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
48,3531.00,1466.13,1044.47,0.2400,0.2500,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
49,3531.00,1452.17,1045.78,0.2500,0.2600,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
50,3531.00,1535.58,1099.00,0.2500,0.2700,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
51,3531.00,1489.50,1042.43,0.2500,0.2800,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
52,3531.00,1400.72,1025.46,0.2500,0.2900,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
53,3531.00,1403.46,1001.41,0.2500,0.3000,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
